Conf,CCS (Å2),HF energy,,,
34,213.3636,-1006.609649,,,
60,230.0439,-1006.6114,,,
110,232.2343,-1006.612971,,,
123,220.2794,-1006.607984,,,
197,182.8971,-1006.624575,,,
234,194.1386,-1006.625142,,,
315,185.2614,-1006.617546,,,
472,195.2054,-1006.618994,,,
474,208.8685,-1006.607928,,,
669,193.5226,-1006.610016,,,
705,224.3467,-1006.606859,,,
746,182.6814,-1006.619745,,,
797,198.3201,-1006.617043,,,
879,189.6148,-1006.620287,,,
883,188.5387,-1006.615511,,,
961,203.1695,-1006.615429,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
