Conf,CCS (Å2),HF energy,,,
34,193.0751,-1005.450072,,,
84,194.2015,-1005.469202,,,
102,247.486,-1005.43975,,,
197,204.9718,-1005.460208,,,
205,235.546,-1005.441082,,,
217,207.4236,-1005.459153,,,
234,193.0458,-1005.445554,,,
370,221.0876,-1005.445082,,,
420,225.9651,-1005.44926,,,
472,241.0356,-1005.444385,,,
474,181.623,-1005.467359,,,
497,185.3936,-1005.458519,,,
584,236.3401,-1005.440216,,,
617,199.3059,-1005.462243,,,
662,211.6478,-1005.461052,,,
669,230.7114,-1005.441094,,,
696,206.6843,-1005.457268,,,
727,191.2506,-1005.463223,,,
746,183.6177,-1005.468823,,,
771,232.4632,-1005.443143,,,
803,182.7593,-1005.471526,,,
879,247.1284,-1005.443176,,,
912,195.3179,-1005.476522,,,
950,195.7949,-1005.453652,,,
